School,G,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Troy,33,1.39,-1.25,73.2,66.8,26,58.9,0.441,7.73,24.2,0.32,13.4,19.2,0.701,11,34.9,13.5,8.73,2.61,12.8,16.9
Tulane,31,5.46,2.69,79.9,77.2,27.8,60.4,0.46,7.77,23,0.338,16.6,21.4,0.777,6.81,33.5,15.6,8.45,4.19,11.3,16.5
Tulsa,30,-8.48,3.66,65.3,77.4,23.8,57.8,0.413,7.67,24.5,0.313,9.97,15.4,0.646,9.03,31.9,11.6,5.47,1.5,13.2,15.5
UAB,39,10.96,1.7,80.7,70.3,28.5,63.1,0.452,7.08,19.9,0.355,16.6,22.5,0.741,13.5,40.9,14.1,8.05,4.26,12.5,17
UC Davis,32,-0.31,-1.74,74.8,71.1,25.3,56.9,0.445,6.69,19.7,0.34,17.5,24.7,0.709,11.8,37.1,12.2,7.09,2.81,14.7,18.8
UC Irvine,35,4.16,-0.6,74.8,67.2,27.7,59.5,0.465,7.06,18.7,0.377,12.3,17.1,0.72,9.74,37,14.8,7,2.49,12.3,19
UC Riverside,34,0.72,-0.34,72.4,69.2,26.6,60.2,0.443,8.35,23.1,0.362,10.8,15.5,0.698,11.5,36.8,13.2,5.15,1.79,12.3,18.5
UC San Diego,30,-6.94,-0.76,68.6,73,24.7,57.3,0.43,7.6,23.2,0.328,11.6,15.7,0.739,8.3,33.5,12,5.8,2.23,12.1,16.1
UC Santa Barbara NCAA,35,3.3,-2.03,71.7,65.9,26.4,53.6,0.493,5.54,15.9,0.35,13.4,18.4,0.727,7.97,31.8,14.1,6.34,2.49,11.3,16.1
UCF,34,11.09,5.09,71.5,65.5,24.9,58.2,0.428,8.68,24.6,0.353,13,16.8,0.771,11.6,35,13.8,7.68,3.79,13.3,16.6
UCLA NCAA,37,22.11,8.66,74.1,60.7,27.9,60.7,0.46,6.14,17.6,0.349,12.2,16.6,0.731,11.3,35.3,14.5,8.38,3.84,10,15.5
UNC Asheville NCAA,35,-1.74,-4.35,74.4,69.1,25.6,54,0.475,7.83,20.2,0.388,15.3,22.1,0.694,8.43,34.8,12.7,6.31,4,14.2,15.5
UNC Greensboro,32,1.66,-2.91,72.1,64.5,25.5,57.2,0.446,7.94,22.4,0.354,13.1,18.3,0.716,10.3,36.9,14.5,7.13,2.59,11.8,16.7
UNC Wilmington,34,-1.17,-3.05,68.9,64.3,23.9,53.9,0.444,6.15,18.4,0.335,14.9,20.5,0.729,9.53,33.2,10.7,6.76,2.79,12,18.4
UT Arlington,32,-4.98,2.12,66.4,68.4,24.1,58.2,0.414,6.47,20.1,0.322,11.7,17.8,0.656,12.7,35.9,13.5,6.38,3,13.8,19.3
Utah,32,11.34,6.53,68.7,63.8,24.7,57.9,0.427,7.25,21.8,0.332,12,16.9,0.708,11.2,39.2,14.4,5.03,3.94,12,15.2
Utah State NCAA,35,14.23,6.81,78.2,69.9,27.1,56.4,0.479,9.29,24,0.387,14.8,19.4,0.763,8.57,35.5,16.7,5,3.34,12.2,16.8
Utah Tech,33,-0.16,1.01,75.6,73.3,25.1,54.6,0.459,8.64,22.7,0.381,16.8,23.8,0.704,9.73,34.1,13.2,6.64,2.24,15.1,19.6
Utah Valley,37,8.48,1.83,77.4,68.6,27.6,59.5,0.465,6.54,19.7,0.332,15.6,21.1,0.74,10.2,40.3,16.1,6.46,6.54,13.8,17.5
UTEP,32,-0.74,1.82,68.5,68.5,24.9,55.5,0.448,4.94,16.8,0.294,13.8,21.8,0.632,11.7,35.1,12,9,2.66,15.8,18
UTSA,32,-7.74,1.16,69.3,76.6,23.4,57.1,0.41,7.34,22,0.334,15.1,20.6,0.734,10.7,35.4,10.4,4.28,2.53,13.7,17.6
Valparaiso,32,-8.72,-2.75,68.9,73.6,25.4,57.9,0.44,6.19,20.9,0.296,11.9,16.3,0.728,7.84,34,13.6,5.84,2.59,12.7,16.6
Vanderbilt,37,8.98,8.55,71.9,71.5,25.1,59.1,0.425,8.38,24.9,0.336,13.3,18.6,0.712,11.3,36.2,11.6,5.05,4.54,10.8,16.3
Vermont NCAA,34,1.63,-3.13,72.7,66.9,26.5,55.9,0.474,8.59,24,0.358,11.1,15.9,0.697,6.47,31.3,13.7,5.88,2.88,9.35,14.8
Villanova,34,10.61,8.69,69.6,67.7,23.7,54.5,0.436,8.71,26,0.334,13.4,16.4,0.82,7.24,31.7,11.1,5.71,1.71,10.1,15.8
Virginia NCAA,33,13.28,5.98,67.8,60.5,24,53.5,0.449,6.67,19.1,0.35,13.1,18.6,0.703,8.27,32.2,15.7,6.82,4.3,8.55,14.3
Virginia Commonwealth NCAA,35,9.89,1.95,70.9,62.9,24.7,53.3,0.463,6.06,17.4,0.348,15.4,22.2,0.696,9.26,33.2,13,8.89,4.57,13.4,16.4
VMI,32,-16.14,-3.45,69.4,76.8,25,60.1,0.416,9.66,27.5,0.351,9.72,12.7,0.766,10.9,35.3,11.4,5.38,1.16,12.8,15.1
Virginia Tech,34,9.36,5.3,74.1,70.1,27.4,58.3,0.469,8.26,23.1,0.358,11.1,15.1,0.735,8.47,33.3,15.5,5.21,3.15,9.88,15.5
Wagner,28,-11.81,-10.85,63.1,61.7,23.4,58.1,0.403,6.46,20.8,0.31,9.82,14.4,0.682,12.9,35.9,12.1,6.75,1.75,12,19.3
Wake Forest,33,8.25,5.43,76.6,73.8,26.6,57.8,0.46,9.55,26.2,0.364,13.8,18.6,0.746,8.33,34.2,13.5,6.03,2.73,12.1,16
Washington,32,6.78,7.94,69.2,70.3,24.6,57,0.431,6.53,20.9,0.313,13.5,18,0.749,8.94,33.8,11.5,6.88,5.16,14,16.5
Washington State,34,10.53,7.91,68.4,65.7,23.9,56.4,0.424,9.12,24.5,0.373,11.4,15.9,0.716,10.9,34.8,11.9,4.88,2.74,12,16
Weber State,33,-2.94,-1.33,67.2,67.5,23.6,52.3,0.451,6.61,19.6,0.337,13.4,17.5,0.766,6.61,31.3,10.6,6.06,1.42,12.8,17.6
West Virginia NCAA,34,15.95,10.89,76,70.9,25.9,57.4,0.452,7.29,20.8,0.35,16.8,22.6,0.743,11.3,33.9,13,6.68,3.06,12.9,18.6
Western Carolina,34,-6.34,-4.08,73.9,70.7,25.6,59.3,0.432,8.5,25,0.34,14.2,19.8,0.715,9.85,36.9,12.6,5.38,2.59,10.7,17.3
Western Illinois,30,-7.59,-4.73,73,72.4,26.5,58.5,0.453,6.97,21.7,0.321,13.1,18.7,0.7,9.47,34.5,13.7,5.8,3.57,10.7,14.5
Western Kentucky,33,-0.81,1.09,71.4,70.6,25.4,57.8,0.44,7.55,21.1,0.358,13,18.2,0.712,9.09,34.9,12.6,6.18,5.24,11.6,14.8
Western Michigan,31,-10.55,-2.34,69.9,74,25.4,58.7,0.432,8.06,24.4,0.33,11.1,15.5,0.714,12.2,37,12.8,4.61,2.19,12.7,16.8
Wichita State,32,5.78,3.25,71,68.5,25.8,57.5,0.45,6.63,21.4,0.309,12.7,17.7,0.716,9.75,36.3,13.3,6.34,4.03,12.5,14.9
William & Mary,33,-10.99,-4.18,67.2,70.3,24,55.4,0.432,7.76,21.2,0.367,11.5,16.9,0.682,10,33.2,12.2,6.03,2.03,12.1,16.2
Winthrop,32,-6.63,-3.59,73.8,74.4,24.6,52.2,0.471,8.84,23.7,0.374,15.7,21.3,0.739,8.13,31,11.4,5.13,3.06,14,16.8
Wisconsin,35,10.98,9.29,65.3,63.6,23.7,57.3,0.414,7.89,23.1,0.342,9.89,14.3,0.691,7.94,31.7,11.6,5.91,1.49,8.63,15.8
Wofford,33,-5.02,-3.32,74.7,72.5,27.5,58.1,0.473,7.48,22.7,0.33,12.3,16.7,0.737,9.45,33,12.5,5.7,2.06,10.9,14.2
Wright State,33,-2.34,-5.89,79.9,73.7,31.2,62.9,0.496,6.21,17.4,0.357,11.2,15.2,0.737,9.21,36.7,15,6.27,3,12.7,15.6
Wyoming,31,2.02,6.12,69.2,72.1,23.9,54.2,0.44,8.65,24.8,0.349,12.8,18,0.711,7.94,32.1,11.1,4.87,2.55,12,15.7
Xavier NCAA,37,16.03,9.16,80.9,74.1,30,61,0.492,7.41,19,0.39,13.6,19.1,0.71,10.3,37.7,19.1,6.38,3.24,12.4,16
Yale,30,7.81,-1.62,75.8,63.2,28,58.8,0.477,7.47,20.7,0.361,12.2,17.6,0.694,9.93,37.8,14.6,6.37,4.1,11.2,17.4
Youngstown State,34,1.67,-5.83,81.9,72.5,29.9,61.4,0.487,7.97,21.9,0.365,14.1,18.1,0.779,10.3,35.4,15.3,7,2.76,11.1,16.2
